Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,5.8,6.02,5.54,5.77,240300,5.77
2015-12-22,5.81,5.82,5.63,5.76,135400,5.76
2015-12-23,5.75,5.88,5.59,5.79,143300,5.79
2015-12-24,5.77,5.96,5.6,5.91,137200,5.91
2015-12-28,5.85,6.05,5.85,6.0,167700,6.0
2015-12-29,6.01,6.12,5.87,6.04,119300,6.04
2015-12-30,6.03,6.14,5.95,6.01,334800,6.01
2015-12-31,6.0,6.33,5.93,6.28,199900,6.28
2016-01-04,6.2,6.36,5.9,6.24,239400,6.24
2016-01-05,6.22,6.5,6.1,6.39,105900,6.39
2016-01-06,6.32,6.37,5.91,5.95,254400,5.95
2016-01-07,5.93,5.93,5.42,5.57,291000,5.57
2016-01-08,5.62,5.66,5.3,5.47,183900,5.47
2016-01-11,5.47,5.47,5.02,5.2,215900,5.2
2016-01-12,5.2,5.5,4.94,5.22,64400,5.22
2016-01-13,5.19,5.36,4.77,4.81,132500,4.81
2016-01-14,4.8,5.03,4.51,4.92,207800,4.92
2016-01-15,4.81,5.01,4.27,5.01,90900,5.01
