Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,2.15,2.17,2.07,2.15,63200,2.15
2015-12-16,2.2,2.26,2.17,2.23,47500,2.23
2015-12-17,2.35,2.35,2.27,2.29,121100,2.29
2015-12-18,2.3,2.3,2.14,2.14,185500,2.14
2015-12-21,2.18,2.18,2.02,2.12,82900,2.12
2015-12-22,2.11,2.18,2.1,2.15,90600,2.15
2015-12-23,2.43,2.48,2.28,2.48,268100,2.48
2015-12-24,2.48,2.48,2.35,2.39,32700,2.39
2015-12-28,2.37,2.39,2.3,2.34,73400,2.34
2015-12-29,2.33,2.36,2.19,2.21,220400,2.21
2015-12-30,2.16,2.28,2.16,2.27,105600,2.27
2015-12-31,2.28,2.51,2.28,2.49,109800,2.49
2016-01-04,2.54,2.54,1.85,2.2,255800,2.2
2016-01-05,2.1,2.2,1.95,2.03,136000,2.03
2016-01-06,2.17,2.23,2.1,2.16,89800,2.16
2016-01-07,2.01,2.12,2.01,2.1,35000,2.1
2016-01-08,2.08,2.19,2.08,2.19,57200,2.19
2016-01-11,2.19,2.19,2.03,2.03,14900,2.03
2016-01-12,2.08,2.24,1.98,2.03,91000,2.03
2016-01-13,2.07,2.13,1.96,2.11,36000,2.11
