Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,0.88,0.9,0.87,0.88,42300,0.88
2015-12-22,1.05,1.23,0.8,0.81,2569300,0.81
2015-12-23,0.86,0.86,0.7,0.82,420600,0.82
2015-12-24,0.85,0.86,0.75,0.78,232000,0.78
2015-12-28,0.8,0.8,0.73,0.73,192100,0.73
2015-12-29,0.72,0.82,0.7,0.74,126600,0.74
2015-12-30,0.71,0.77,0.7,0.75,217100,0.75
2015-12-31,0.76,0.77,0.7,0.7,278000,0.7
2016-01-04,0.71,0.77,0.69,0.69,201200,0.69
2016-01-05,0.73,0.74,0.64,0.65,135200,0.65
2016-01-06,0.65,0.68,0.57,0.58,212700,0.58
2016-01-07,0.58,0.58,0.49,0.5,145300,0.5
2016-01-08,0.53,0.69,0.53,0.54,231300,0.54
2016-01-11,0.53,0.55,0.5,0.51,156700,0.51
2016-01-12,0.5,0.58,0.42,0.45,204400,0.45
2016-01-13,0.4,0.54,0.4,0.43,179700,0.43
2016-01-14,0.4,0.46,0.33,0.41,339300,0.41
2016-01-15,0.41,0.45,0.39,0.45,50800,0.45
