Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,0.32,0.32,0.31,0.32,74900,0.32
2015-12-16,0.32,0.32,0.3,0.32,80000,0.32
2015-12-17,0.32,0.33,0.3,0.31,68700,0.31
2015-12-18,0.3,0.33,0.3,0.32,105200,0.32
2015-12-21,0.32,0.32,0.29,0.31,74900,0.31
2015-12-22,0.3,0.33,0.28,0.32,285300,0.32
2015-12-23,0.29,0.32,0.29,0.31,47300,0.31
2015-12-24,0.32,0.32,0.29,0.3,68100,0.3
2015-12-28,0.29,0.32,0.29,0.3,522800,0.3
2015-12-29,0.29,0.32,0.29,0.31,359500,0.31
2015-12-30,0.31,0.31,0.28,0.3,86100,0.3
2015-12-31,0.3,0.31,0.28,0.3,371100,0.3
2016-01-04,0.3,0.32,0.3,0.3,61800,0.3
2016-01-05,0.3,0.32,0.3,0.32,111800,0.32
2016-01-06,0.3,0.3,0.29,0.29,142200,0.29
2016-01-07,0.3,0.3,0.28,0.29,235000,0.29
2016-01-08,0.28,0.3,0.28,0.29,107900,0.29
2016-01-11,0.29,0.29,0.24,0.27,285900,0.27
2016-01-12,0.27,0.27,0.25,0.25,70100,0.25
2016-01-13,0.25,0.27,0.23,0.23,125100,0.23
