Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,2.81,2.82,2.7,2.7,6100,2.7
2015-12-22,2.7,2.81,2.68,2.79,15200,2.79
2015-12-23,2.87,2.87,2.67,2.7,7900,2.7
2015-12-24,2.74,2.74,2.56,2.6,5900,2.6
2015-12-28,2.67,2.68,2.45,2.57,14000,2.57
2015-12-29,2.64,2.64,2.51,2.56,16900,2.56
2015-12-30,2.5,2.6,2.5,2.56,6500,2.56
2015-12-31,2.55,2.59,2.5,2.53,7500,2.53
2016-01-04,2.65,2.65,2.45,2.56,24100,2.56
2016-01-05,2.52,2.61,2.41,2.48,16300,2.48
2016-01-06,2.44,2.44,2.28,2.31,6200,2.31
2016-01-07,2.26,2.3,2.06,2.3,17100,2.3
2016-01-08,2.35,2.35,2.2,2.32,11400,2.32
2016-01-11,2.4,2.49,2.25,2.28,8500,2.28
2016-01-12,2.37,2.37,2.1,2.16,14000,2.16
2016-01-13,2.16,2.17,2.03,2.11,8600,2.11
2016-01-14,2.06,2.14,2.06,2.1,3600,2.1
2016-01-15,2.11,2.21,2.01,2.12,6400,2.12
