Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,3.9,3.94,3.81,3.83,1623700,3.83
2015-12-16,5.14,5.2,4.52,4.62,18279400,4.62
2015-12-17,4.4,4.71,4.4,4.57,5080900,4.57
2015-12-18,4.57,4.68,4.4,4.42,7516700,4.42
2015-12-21,4.44,4.5,4.3,4.4,2076800,4.4
2015-12-22,4.45,4.45,4.23,4.32,1666200,4.32
2015-12-23,4.32,4.39,4.3,4.31,1312900,4.31
2015-12-24,4.34,4.36,4.2,4.25,776200,4.25
2015-12-28,4.23,4.38,4.22,4.25,1466700,4.25
2015-12-29,4.24,4.28,4.13,4.16,4654400,4.16
2015-12-30,4.16,4.28,4.14,4.15,1159800,4.15
2015-12-31,4.1,4.24,4.1,4.22,1798300,4.22
2016-01-04,4.13,4.18,4.06,4.09,2164800,4.09
2016-01-05,4.12,4.17,4.07,4.14,1337800,4.14
2016-01-06,4.1,4.1,3.88,3.91,1917600,3.91
2016-01-07,3.83,3.86,3.69,3.76,2582400,3.76
2016-01-08,3.77,3.85,3.63,3.64,2074100,3.64
2016-01-11,3.68,3.71,3.45,3.49,3112400,3.49
2016-01-12,3.56,3.73,3.4,3.58,2838700,3.58
2016-01-13,3.55,3.62,3.29,3.31,2321300,3.31
