Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,6.1,6.15,5.82,6.1,877600,6.1
2015-12-22,6.08,6.15,5.83,5.99,779500,5.99
2015-12-23,5.99,6.17,5.95,6.08,505700,6.08
2015-12-24,6.04,6.23,6.04,6.2,344300,6.2
2015-12-28,6.18,6.3,6.05,6.19,601900,6.19
2015-12-29,6.22,6.29,6.15,6.2,560600,6.2
2015-12-30,6.18,6.25,6.08,6.13,721000,6.13
2015-12-31,6.1,6.235,6.05,6.15,550300,6.15
2016-01-04,5.97,6.05,5.85,5.98,985800,5.98
2016-01-05,5.94,6.04,5.755,5.87,724800,5.87
2016-01-06,5.74,5.837000000000001,5.34,5.45,1284100,5.45
2016-01-07,5.18,5.41,5.005,5.3,2207800,5.3
2016-01-08,5.38,5.66,5.26,5.36,1050800,5.36
2016-01-11,5.36,5.49,4.86,5.04,1259600,5.04
2016-01-12,5.04,5.28,4.8,4.98,1358400,4.98
2016-01-13,4.95,5.12,4.61,4.65,994500,4.65
2016-01-14,4.64,4.91,4.41,4.79,948000,4.79
2016-01-15,4.63,4.75,4.41,4.58,1186600,4.58
