Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,8.14,8.14,7.6,8.03,28400,8.03
2015-12-16,8.05,8.41,7.8,8.41,34900,8.41
2015-12-17,8.39,8.39,7.72,7.72,23700,7.72
2015-12-18,7.67,8.25,7.67,7.88,75700,7.88
2015-12-21,7.95,7.99,7.57,7.65,33000,7.65
2015-12-22,7.65,7.73,7.23,7.32,28200,7.32
2015-12-23,7.34,7.92,7.22,7.8,43200,7.8
2015-12-24,7.78,8.03,7.73,7.75,26000,7.75
2015-12-28,7.75,8.44,7.7,7.7,17800,7.7
2015-12-29,7.73,7.76,7.39,7.6,33600,7.6
2015-12-30,7.56,7.73,7.39,7.55,23100,7.55
2015-12-31,7.54,7.99,7.5,7.51,50700,7.51
2016-01-04,7.5,7.5,7.09,7.19,74600,7.19
2016-01-05,7.18,7.27,6.83,6.84,50500,6.84
2016-01-06,6.71,7.09,6.62,6.99,42100,6.99
2016-01-07,6.85,7.1,6.55,6.92,49200,6.92
2016-01-08,6.94,6.99,6.55,6.61,39700,6.61
2016-01-11,6.61,7.07,6.37,7.03,55100,7.03
2016-01-12,7.04,7.38,6.6,6.76,53300,6.76
2016-01-13,6.72,6.72,5.63,5.72,55500,5.72
2016-01-14,5.68,5.94,5.48,5.74,37700,5.74
