Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,4.04,4.24,3.99,4.18,100900,4.18
2015-12-16,4.2,4.39,4.18,4.37,63100,4.37
2015-12-17,4.36,4.4,4.25,4.28,34400,4.28
2015-12-18,4.26,4.66,4.06,4.38,217600,4.38
2015-12-21,4.28,4.38,4.09,4.22,81400,4.22
2015-12-22,4.2,4.2,4.05,4.1,56000,4.1
2015-12-23,4.12,4.16,4.05,4.13,51800,4.13
2015-12-24,4.14,4.14,4.01,4.1,60900,4.1
2015-12-28,4.06,4.12,4.0,4.07,91900,4.07
2015-12-29,3.99,4.27,3.99,4.26,99300,4.26
2015-12-30,4.18,4.25,4.1,4.1,62800,4.1
2015-12-31,4.03,4.09,3.87,3.93,104400,3.93
2016-01-04,3.85,3.85,3.52,3.77,106500,3.77
2016-01-05,3.77,3.92,3.71,3.72,56800,3.72
2016-01-06,3.66,3.71,3.42,3.5,83200,3.5
2016-01-07,3.45,3.45,3.1210000000000004,3.15,97600,3.15
2016-01-08,3.25,3.332,3.12,3.12,82900,3.12
2016-01-11,3.12,3.12,2.76,2.85,127700,2.85
2016-01-12,2.89,2.98,2.805,2.88,52500,2.88
2016-01-13,2.88,2.93,2.58,2.6,104300,2.6
