Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,2.36,2.82,2.32,2.6,2649300,2.6
2015-12-22,2.68,2.69,2.27,2.54,1213900,2.54
2015-12-23,2.55,2.58,2.34,2.49,527400,2.49
2015-12-24,2.54,2.63,2.489,2.63,386100,2.63
2015-12-28,2.63,2.95,2.54,2.82,2009500,2.82
2015-12-29,2.84,3.13,2.84,3.12,2882400,3.12
2015-12-30,3.35,3.4,2.98,3.14,2996000,3.14
2015-12-31,3.12,3.279,2.95,3.23,1043500,3.23
2016-01-04,3.19,3.5,3.02,3.4,1690400,3.4
2016-01-05,3.41,3.49,3.07,3.12,1759500,3.12
2016-01-06,3.0,3.02,2.72,2.85,1218300,2.85
2016-01-07,2.68,2.83,2.4,2.56,1458100,2.56
2016-01-08,2.71,2.74,2.5340000000000003,2.63,729700,2.63
2016-01-11,2.63,2.65,2.08,2.22,1150300,2.22
2016-01-12,2.3,2.39,2.15,2.21,604800,2.21
2016-01-13,2.19,2.253,1.97,2.06,801900,2.06
2016-01-14,2.09,2.09,1.95,2.07,526800,2.07
2016-01-15,1.9,1.96,1.85,1.94,617200,1.94
