Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,1.27,1.3,1.27,1.28,817400,1.28
2015-12-16,1.28,1.32,1.27,1.3,1689900,1.3
2015-12-17,1.28,1.34,1.27,1.31,973400,1.31
2015-12-18,1.3,1.33,1.26,1.26,1324100,1.26
2015-12-21,1.28,1.32,1.26,1.3,913300,1.3
2015-12-22,1.29,1.32,1.26,1.28,794900,1.28
2015-12-23,1.28,1.31,1.27,1.31,853300,1.31
2015-12-24,1.3,1.34,1.3,1.33,330800,1.33
2015-12-28,1.3,1.34,1.27,1.3,1079700,1.3
2015-12-29,1.29,1.3,1.26,1.27,1300600,1.27
2015-12-30,1.26,1.27,1.22,1.24,1467500,1.24
2015-12-31,1.23,1.25,1.21,1.21,1090000,1.21
2016-01-04,1.22,1.24,1.17,1.19,849400,1.19
2016-01-05,1.19,1.27,1.18,1.2,382800,1.2
2016-01-06,1.18,1.2,1.16,1.17,478600,1.17
2016-01-07,1.16,1.18,1.09,1.11,1153000,1.11
2016-01-08,1.11,1.13,1.04,1.05,828800,1.05
2016-01-11,1.06,1.09,0.91,0.96,2158100,0.96
2016-01-12,0.97,1.01,0.95,1.0,945800,1.0
2016-01-13,1.0,1.03,0.91,0.95,1302200,0.95
2016-01-14,0.96,1.0,0.91,0.97,941800,0.97
