Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,4.89,4.99,4.78,4.94,55800,4.94
2015-12-16,4.98,5.03,4.88,5.0,44300,5.0
2015-12-17,5.06,5.25,5.06,5.17,113700,5.17
2015-12-18,5.18,5.28,5.11,5.15,55400,5.15
2015-12-21,5.14,5.24,5.05,5.1,32900,5.1
2015-12-22,5.08,5.16,4.93,5.04,201800,5.04
2015-12-23,5.03,5.14,5.01,5.07,20900,5.07
2015-12-24,5.06,5.09,5.0,5.01,5600,5.01
2015-12-28,5.01,5.16,4.95,5.09,36100,5.09
2015-12-29,5.16,5.16,4.95,5.02,53400,5.02
2015-12-30,5.03,5.12,5.0,5.05,25500,5.05
2015-12-31,5.05,5.07,4.93,5.0,39200,5.0
2016-01-04,4.92,5.11,4.91,5.05,86200,5.05
2016-01-05,5.05,5.05,4.91,5.0,41200,5.0
2016-01-06,4.93,5.05,4.91,5.01,54400,5.01
2016-01-07,4.97,5.11,4.91,5.0,89700,5.0
2016-01-08,5.01,5.05,4.93,5.01,99400,5.01
2016-01-11,5.01,5.01,4.85,4.99,74600,4.99
2016-01-12,5.0,5.04,4.74,4.91,72200,4.91
2016-01-13,4.89,4.9,4.65,4.81,89800,4.81
2016-01-14,4.84,4.87,4.54,4.78,133600,4.78
