Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,1.04,1.04,1.0,1.03,130900,1.03
2015-12-16,1.0,1.09,0.98,1.03,193100,1.03
2015-12-17,1.04,1.04,0.95,0.95,258100,0.95
2015-12-18,0.95,1.0,0.94,0.99,176400,0.99
2015-12-21,0.97,1.02,0.96,1.0,120700,1.0
2015-12-22,1.01,1.04,0.93,0.93,87400,0.93
2015-12-23,0.93,0.99,0.86,0.97,127300,0.97
2015-12-24,0.97,0.99,0.84,0.92,139900,0.92
2015-12-28,0.89,0.97,0.89,0.91,62000,0.91
2015-12-29,0.92,0.93,0.86,0.88,141200,0.88
2015-12-30,0.86,0.87,0.8,0.81,214800,0.81
2015-12-31,0.82,0.82,0.62,0.67,779600,0.67
2016-01-04,0.66,0.66,0.6,0.64,186900,0.64
2016-01-05,0.65,0.87,0.64,0.8,489300,0.8
2016-01-06,0.87,0.97,0.84,0.86,687400,0.86
2016-01-07,0.88,0.88,0.75,0.76,269700,0.76
2016-01-08,0.76,0.79,0.74,0.74,182600,0.74
2016-01-11,0.77,0.8,0.74,0.78,112600,0.78
2016-01-12,0.77,0.77,0.74,0.75,76700,0.75
2016-01-13,0.76,0.76,0.7,0.7,76700,0.7
