Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,1.67,1.67,1.57,1.58,38800,1.58
2015-12-16,1.6,1.7,1.44,1.49,149400,1.49
2015-12-17,1.5,1.57,1.4,1.48,45200,1.48
2015-12-18,1.48,1.48,1.39,1.45,69900,1.45
2015-12-21,1.45,1.45,1.36,1.37,53300,1.37
2015-12-22,1.37,1.37,1.13,1.19,171600,1.19
2015-12-23,1.2,1.47,1.16,1.38,133500,1.38
2015-12-24,1.38,1.38,1.33,1.35,11000,1.35
2015-12-28,1.35,1.58,1.31,1.48,91800,1.48
2015-12-29,1.5,1.51,1.3,1.4,40600,1.4
2015-12-30,1.36,1.36,1.24,1.33,73300,1.33
2015-12-31,1.32,1.37,1.2,1.25,69600,1.25
2016-01-04,1.24,1.39,1.24,1.28,77600,1.28
2016-01-05,1.27,1.35,1.27,1.33,35700,1.33
2016-01-06,1.3,1.36,1.3,1.33,22800,1.33
2016-01-07,1.29,1.4,1.29,1.37,75400,1.37
2016-01-08,1.38,1.45,1.36,1.38,52500,1.38
2016-01-11,1.4,1.4,1.32,1.37,34600,1.37
2016-01-12,1.39,1.39,1.34,1.34,25400,1.34
2016-01-13,1.35,1.44,1.3,1.4,82200,1.4
2016-01-14,1.4,1.42,1.35,1.41,37400,1.41
