Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,1.395,1.48,1.38,1.4,131200,1.4
2015-12-16,1.41,1.57,1.37,1.44,228700,1.44
2015-12-17,1.47,1.52,1.44,1.5,101900,1.5
2015-12-18,1.5,1.58,1.45,1.49,168300,1.49
2015-12-21,1.5,1.68,1.5,1.66,262500,1.66
2015-12-22,1.7,1.81,1.62,1.78,334900,1.78
2015-12-23,1.79,1.9,1.74,1.79,239700,1.79
2015-12-24,1.84,1.84,1.72,1.77,84200,1.77
2015-12-28,1.78,1.8,1.65,1.69,243400,1.69
2015-12-29,1.66,1.77,1.56,1.67,244800,1.67
2015-12-30,1.67,1.704,1.65,1.67,233900,1.67
2015-12-31,1.66,1.74,1.65,1.69,238500,1.69
2016-01-04,1.67,1.83,1.66,1.82,248000,1.82
2016-01-05,1.86,1.86,1.71,1.8,216800,1.8
2016-01-06,1.76,1.79,1.673,1.75,104000,1.75
2016-01-07,1.7,1.8,1.65,1.69,136300,1.69
2016-01-08,1.7,1.71,1.59,1.61,73900,1.61
2016-01-11,1.61,1.732,1.34,1.35,213600,1.35
2016-01-12,1.35,1.46,1.35,1.44,88400,1.44
2016-01-13,1.48,1.54,1.2,1.28,153400,1.28
