Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,2.12,2.31,2.08,2.2,20800,2.2
2015-12-16,2.09,2.25,1.99,2.0,24400,2.0
2015-12-17,1.95,2.05,1.93,2.0,59800,2.0
2015-12-18,2.0,2.15,1.89,2.0,390300,2.0
2015-12-21,2.02,2.22,2.0,2.14,92300,2.14
2015-12-22,2.21,2.4,2.16,2.23,41400,2.23
2015-12-23,2.24,2.42,2.16,2.3,7100,2.3
2015-12-24,2.33,2.64,2.33,2.61,6800,2.61
2015-12-28,2.68,2.68,2.43,2.6,27500,2.6
2015-12-29,2.78,3.88,2.7,3.52,319200,3.52
2015-12-30,3.56,4.57,3.1,3.19,525500,3.19
2015-12-31,3.25,3.32,2.83,3.13,73000,3.13
2016-01-04,2.88,3.09,2.33,3.07,63500,3.07
2016-01-05,3.07,3.4,2.82,2.97,34000,2.97
2016-01-06,2.83,3.0,2.5,2.86,39500,2.86
2016-01-07,2.72,3.28,2.23,3.15,39200,3.15
2016-01-08,3.03,3.07,2.82,2.92,12400,2.92
2016-01-11,2.81,3.01,2.54,2.81,11200,2.81
2016-01-12,2.79,2.85,2.55,2.72,24200,2.72
2016-01-13,2.64,2.72,2.34,2.34,31800,2.34
2016-01-14,2.4,2.52,2.23,2.42,8400,2.42
