Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,3.68,3.9,3.66,3.69,19200,3.69
2015-12-16,3.7,3.77,3.67,3.74,16100,3.74
2015-12-17,3.73,3.74,3.66,3.68,16600,3.68
2015-12-18,3.68,3.79,3.68,3.73,23000,3.73
2015-12-21,3.71,3.84,3.68,3.84,17900,3.84
2015-12-22,3.72,3.85,3.71,3.73,21200,3.73
2015-12-23,3.8,3.8,3.62,3.72,37100,3.72
2015-12-24,3.71,3.77,3.66,3.72,20300,3.72
2015-12-28,3.72,3.72,3.58,3.59,36100,3.59
2015-12-29,3.59,3.65,3.51,3.58,28400,3.58
2015-12-30,3.53,3.58,3.48,3.5,70400,3.5
2015-12-31,3.51,3.6,3.38,3.49,121700,3.49
2016-01-04,3.45,3.49,3.3,3.32,23000,3.32
2016-01-05,3.33,3.44,3.33,3.38,11100,3.38
2016-01-06,3.69,4.0,3.6,3.73,76400,3.73
2016-01-07,3.65,3.92,3.3,3.37,44100,3.37
2016-01-08,3.42,3.64,3.4,3.61,38600,3.61
2016-01-11,3.54,3.54,3.41,3.51,34000,3.51
2016-01-12,3.45,3.69,3.45,3.51,10300,3.51
2016-01-13,3.52,3.54,3.28,3.43,19000,3.43
2016-01-14,3.48,3.51,3.39,3.45,13200,3.45
