Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,7.78,7.92,7.45,7.76,105200,7.76
2015-12-22,7.78,7.88,7.57,7.86,54600,7.86
2015-12-23,7.89,8.02,7.78,7.98,93000,7.98
2015-12-24,7.9,8.26,7.9,8.15,42000,8.15
2015-12-28,8.09,8.3,8.06,8.16,64100,8.16
2015-12-29,8.23,8.26,8.05,8.17,46900,8.17
2015-12-30,8.19,8.25,8.09,8.09,33900,8.09
2015-12-31,8.02,8.3,7.97,8.1,94900,8.1
2016-01-04,7.95,7.96,7.15,7.23,123000,7.23
2016-01-05,7.11,7.36,6.68,6.81,378400,6.81
2016-01-06,6.49,6.91,5.55,5.75,539800,5.75
2016-01-07,5.63,5.63,5.13,5.15,309400,5.15
2016-01-08,5.25,5.25,4.77,4.77,190300,4.77
2016-01-11,4.86,4.86,4.36,4.54,357400,4.54
2016-01-12,4.78,4.91,4.47,4.65,210200,4.65
2016-01-13,4.62,4.68,4.04,4.08,206700,4.08
2016-01-14,4.12,4.73,3.93,4.07,254300,4.07
2016-01-15,3.93,4.0,3.8,3.99,176900,3.99
