Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,6.468,6.49,6.021,6.25,5900,6.25
2015-12-16,6.49,6.695,6.457999999999999,6.59,22800,6.59
2015-12-17,6.746,6.746,6.4,6.54,1400,6.54
2015-12-18,6.53,6.837999999999999,6.35,6.43,44000,6.43
2015-12-21,6.395,6.395,6.395,6.395,1100,6.395
2015-12-22,6.42,6.42,6.35,6.36,2600,6.36
2015-12-23,6.2620000000000005,6.49,6.2,6.39,32700,6.39
2015-12-24,6.53,6.53,6.52,6.52,2000,6.52
2015-12-28,6.57,6.57,6.297999999999999,6.39,3200,6.39
2015-12-29,6.43,6.44,6.23,6.36,6800,6.36
2015-12-30,6.45,6.45,6.255,6.28,1800,6.28
2015-12-31,6.35,6.6,6.01,6.4,13400,6.4
2016-01-04,6.21,6.275,6.21,6.27,1700,6.27
2016-01-05,6.84,6.84,6.01,6.24,3800,6.24
2016-01-06,6.24,6.6,6.01,6.316,7800,6.316
2016-01-07,6.79,6.79,6.13,6.33,800,6.33
2016-01-08,6.64,6.64,6.0,6.04,8800,6.04
2016-01-11,6.0,6.0,5.925,6.0,3900,6.0
2016-01-12,6.18,6.24,6.01,6.1,3900,6.1
2016-01-13,6.03,6.03,5.2,5.281000000000001,27200,5.281000000000001
