Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,6.56,6.7,6.42,6.58,200600,6.58
2015-12-16,6.54,6.65,6.53,6.6,138300,6.6
2015-12-17,6.5,6.77,6.47,6.5,201400,6.5
2015-12-18,6.41,6.79,6.41,6.53,271500,6.53
2015-12-21,6.56,6.68,6.49,6.61,136900,6.61
2015-12-22,6.54,6.72,6.5,6.66,156000,6.66
2015-12-23,6.65,6.82,6.59,6.78,106300,6.78
2015-12-24,6.73,6.79,6.66,6.71,45600,6.71
2015-12-28,6.64,6.67,6.43,6.47,114600,6.47
2015-12-29,6.49,6.52,6.27,6.32,200200,6.32
2015-12-30,6.27,6.43,6.2,6.35,148900,6.35
2015-12-31,6.4,6.44,6.26,6.39,86000,6.39
2016-01-04,6.32,6.5,6.3,6.43,100000,6.43
2016-01-05,6.42,6.92,6.4,6.9,228600,6.9
2016-01-06,6.87,6.91,6.4,6.53,354900,6.53
2016-01-07,6.35,6.35,6.01,6.1,285200,6.1
2016-01-08,6.15,6.2,5.92,5.96,90200,5.96
2016-01-11,6.0,6.04,5.54,5.55,183100,5.55
2016-01-12,5.65,5.72,5.3,5.52,204400,5.52
2016-01-13,5.52,5.68,5.2,5.21,309400,5.21
2016-01-14,5.19,5.32,4.93,5.2,205300,5.2
