Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,2.1,2.1,2.05,2.05,2000,2.05
2015-12-22,1.99,1.99,1.98,1.98,700,1.98
2015-12-23,1.96,2.03,1.96,2.0,1900,2.0
2015-12-24,1.92,1.98,1.91,1.91,10700,1.91
2015-12-28,1.95,1.979,1.95,1.979,900,1.979
2015-12-29,1.92,1.94,1.92,1.94,1600,1.94
2015-12-30,1.92,1.92,1.92,1.92,2900,1.92
2015-12-31,1.91,1.91,1.85,1.89,5400,1.89
2016-01-04,2.15,2.15,2.01,2.01,7100,2.01
2016-01-05,2.01,2.01,2.01,2.01,0,2.01
2016-01-06,2.01,2.01,2.01,2.01,0,2.01
2016-01-07,2.0,2.0,1.864,1.98,700,1.98
2016-01-08,1.88,2.0,1.88,2.0,2500,2.0
2016-01-11,1.972,1.99,1.972,1.99,300,1.99
2016-01-12,1.99,1.99,1.99,1.99,0,1.99
2016-01-13,1.88,1.99,1.88,1.935,600,1.935
2016-01-14,1.97,2.0,1.97,1.99,3400,1.99
2016-01-15,1.923,2.07,1.88,1.93,18100,1.93
