Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,1.07,1.19,1.07,1.18,502600,1.18
2015-12-16,1.13,1.52,1.13,1.51,1742000,1.51
2015-12-17,1.5,1.65,1.41,1.6,1767200,1.6
2015-12-18,1.56,1.65,1.48,1.53,1179100,1.53
2015-12-21,1.53,1.6,1.49,1.52,412400,1.52
2015-12-22,1.56,1.6,1.51,1.52,229800,1.52
2015-12-23,1.51,1.55,1.5,1.52,219200,1.52
2015-12-24,1.52,1.545,1.49,1.5,103700,1.5
2015-12-28,1.45,1.55,1.39,1.455,481700,1.455
2015-12-29,1.43,1.51,1.43,1.48,249400,1.48
2015-12-30,1.49,1.5,1.39,1.4,330600,1.4
2015-12-31,1.4,1.53,1.4,1.47,566800,1.47
2016-01-04,1.46,1.51,1.41,1.47,209600,1.47
2016-01-05,1.48,1.72,1.44,1.69,1285700,1.69
2016-01-06,1.64,1.7,1.42,1.5,448600,1.5
2016-01-07,1.46,1.495,1.35,1.37,379300,1.37
2016-01-08,1.37,1.4,1.28,1.28,220400,1.28
2016-01-11,1.27,1.35,1.13,1.18,422000,1.18
2016-01-12,1.21,1.25,1.17,1.21,193900,1.21
2016-01-13,1.21,1.24,1.13,1.14,99500,1.14
2016-01-14,1.16,1.23,1.1,1.19,167400,1.19
