Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,0.16,0.18,0.13,0.13,922900,0.13
2015-12-16,0.13,0.15,0.12,0.13,981800,0.13
2015-12-17,0.13,0.14,0.11,0.13,1396800,0.13
2015-12-18,0.14,0.14,0.12,0.14,545200,0.14
2015-12-21,0.12,0.14,0.12,0.13,365800,0.13
2015-12-22,0.13,0.14,0.12,0.13,322800,0.13
2015-12-23,0.12,0.13,0.12,0.12,529800,0.12
2015-12-24,0.12,0.13,0.12,0.13,140400,0.13
2015-12-28,0.13,0.14,0.12,0.12,325500,0.12
2015-12-29,0.12,0.18,0.12,0.17,1039100,0.17
2015-12-30,0.17,0.17,0.14,0.16,635000,0.16
2015-12-31,0.15,0.16,0.15,0.15,185700,0.15
2016-01-04,0.15,0.18,0.15,0.16,102100,0.16
2016-01-05,0.14,0.17,0.14,0.15,241100,0.15
2016-01-06,0.15,0.17,0.14,0.15,58100,0.15
2016-01-07,0.17,0.17,0.14,0.16,414000,0.16
2016-01-08,0.16,0.19,0.16,0.19,2321800,0.19
2016-01-11,0.19,0.19,0.17,0.17,510800,0.17
2016-01-12,0.17,0.18,0.16,0.18,384700,0.18
2016-01-13,0.18,0.2,0.18,0.19,584400,0.19
2016-01-14,0.2,0.22,0.19,0.21,838400,0.21
