Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,2.7,2.7,2.67,2.68,9600,2.68
2015-12-22,2.68,2.69,2.62,2.69,17500,2.69
2015-12-23,2.69,2.78,2.69,2.77,17400,2.77
2015-12-24,2.83,3.06,2.83,3.02,27200,3.02
2015-12-28,3.0,3.06,2.8,2.89,7000,2.89
2015-12-29,3.03,3.23,3.02,3.18,70000,3.18
2015-12-30,3.17,3.17,3.09,3.09,4300,3.09
2015-12-31,3.1,3.1,2.95,2.95,32200,2.95
2016-01-04,2.85,2.99,2.85,2.99,14400,2.99
2016-01-05,3.05,3.1,3.05,3.06,9600,3.06
2016-01-06,3.02,3.04,2.99,3.01,2700,3.01
2016-01-07,2.9,2.94,2.8,2.83,7700,2.83
2016-01-08,2.86,2.9,2.77,2.77,6900,2.77
2016-01-11,2.81,2.84,2.41,2.41,43500,2.41
2016-01-12,2.41,2.6,2.41,2.56,11300,2.56
2016-01-13,2.65,2.66,2.43,2.43,2600,2.43
2016-01-14,2.42,2.55,2.42,2.48,16600,2.48
2016-01-15,2.55,2.55,2.32,2.37,11400,2.37
