Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,14.87,15.09,14.55,14.83,14400,14.83
2015-12-22,15.0,15.11,14.8,15.1,11000,15.1
2015-12-23,15.15,15.5,14.94,15.17,6200,15.17
2015-12-24,14.84,15.26,14.82,15.01,3800,15.01
2015-12-28,15.01,15.17,15.01,15.15,1800,15.15
2015-12-29,15.15,15.3,15.0,15.26,24500,15.26
2015-12-30,15.14,15.95,15.14,15.5,13600,15.5
2015-12-31,15.25,15.63,15.0,15.29,9300,15.29
2016-01-04,15.21,15.5,15.08,15.21,36000,15.21
2016-01-05,15.07,15.3,14.8,15.18,3000,15.18
2016-01-06,14.98,15.45,14.9,14.93,17300,14.93
2016-01-07,15.0,15.0,14.61,14.82,8500,14.82
2016-01-08,14.81,15.22,14.72,14.87,16900,14.87
2016-01-11,14.9,15.58,13.99,14.44,38300,14.44
2016-01-12,14.5,14.8,14.25,14.34,21400,14.34
2016-01-13,14.41,14.45,12.88,13.53,44600,13.53
2016-01-14,13.56,13.73,12.87,13.35,25700,13.35
2016-01-15,13.12,13.74,12.81,13.38,24600,13.38
