Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,11.31,11.38,11.05,11.31,420200,11.31
2015-12-16,11.8,11.99,11.44,11.65,368500,11.65
2015-12-17,11.67,11.76,11.28,11.49,259400,11.49
2015-12-18,11.41,11.61,10.91,10.91,1495900,10.91
2015-12-21,10.98,11.2,10.56,10.76,551800,10.76
2015-12-22,10.87,10.94,10.34,10.64,281000,10.64
2015-12-23,10.73,10.91,10.6,10.83,145700,10.83
2015-12-24,10.84,10.95,10.69,10.75,153200,10.75
2015-12-28,10.63,10.93,10.34,10.36,317700,10.36
2015-12-29,10.47,10.58,10.29,10.47,254600,10.47
2015-12-30,10.42,10.57,10.32,10.51,268400,10.51
2015-12-31,10.49,10.64,10.26,10.46,600200,10.46
2016-01-04,10.22,10.34,9.85,10.0,403000,10.0
2016-01-05,10.09,10.71,9.95,10.6,540300,10.6
2016-01-06,10.44,10.44,9.86,9.94,375200,9.94
2016-01-07,9.77,10.1,9.55,9.82,440800,9.82
2016-01-08,9.85,10.06,9.41,9.47,347100,9.47
2016-01-11,9.57,9.57,8.71,8.96,480100,8.96
2016-01-12,8.99,9.66,8.99,9.63,710800,9.63
2016-01-13,9.65,9.74,8.73,8.82,555800,8.82
2016-01-14,8.92,9.0,8.29,8.79,515800,8.79
