Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,2.45,2.47,2.37,2.44,456300,2.44
2015-12-16,2.45,2.53,2.44,2.48,434900,2.48
2015-12-17,2.53,2.77,2.52,2.72,499700,2.72
2015-12-18,2.7,2.83,2.7,2.72,678000,2.72
2015-12-21,2.76,2.8,2.71,2.76,248000,2.76
2015-12-22,2.79,2.81,2.69,2.77,238700,2.77
2015-12-23,2.78,2.86,2.76,2.8,278600,2.8
2015-12-24,2.8,2.91,2.78,2.87,171800,2.87
2015-12-28,2.85,2.9,2.71,2.76,201500,2.76
2015-12-29,2.79,2.81,2.71,2.76,293300,2.76
2015-12-30,2.74,2.79,2.68,2.69,255000,2.69
2015-12-31,2.68,2.73,2.62,2.65,330600,2.65
2016-01-04,2.6,2.66,2.52,2.56,469100,2.56
2016-01-05,2.57,2.59,2.49,2.53,210100,2.53
2016-01-06,2.44,2.51,2.4,2.45,353300,2.45
2016-01-07,2.4,2.42,2.3,2.35,1134000,2.35
2016-01-08,2.39,2.39,2.01,2.05,1168700,2.05
2016-01-11,2.04,2.23,2.04,2.15,608100,2.15
2016-01-12,2.21,2.28,1.84,2.04,946200,2.04
2016-01-13,2.03,2.07,1.78,1.79,628100,1.79
