Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,12.74,13.79,12.37,13.3,212000,13.3
2015-12-16,13.46,14.39,12.94,13.9,171800,13.9
2015-12-17,14.09,15.93,13.92,14.57,234700,14.57
2015-12-18,14.57,15.43,14.2,14.53,648700,14.53
2015-12-21,14.67,14.76,13.65,14.26,126000,14.26
2015-12-22,14.32,14.32,12.24,12.28,166000,12.28
2015-12-23,12.38,12.92,12.37,12.53,79500,12.53
2015-12-24,12.64,12.86,12.02,12.07,35700,12.07
2015-12-28,11.99,12.21,11.663,11.7,160000,11.7
2015-12-29,11.77,12.0,10.93,11.35,449500,11.35
2015-12-30,11.37,11.8,10.97,11.7,172600,11.7
2015-12-31,11.64,12.06,11.52,11.87,180700,11.87
2016-01-04,11.63,12.05,10.54,11.39,111000,11.39
2016-01-05,11.37,11.66,10.76,10.85,135400,10.85
2016-01-06,10.72,10.74,9.91,10.04,148200,10.04
2016-01-07,9.8,9.91,9.28,9.56,232100,9.56
2016-01-08,9.65,9.83,9.05,9.09,154300,9.09
2016-01-11,9.11,9.27,7.75,8.31,134000,8.31
2016-01-12,8.53,9.11,7.58,8.0,128200,8.0
2016-01-13,8.06,8.24,7.19,7.2,115500,7.2
2016-01-14,7.2,7.79,6.59,7.44,95100,7.44
