Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,4.49,4.63,4.39,4.5,183900,4.5
2015-12-16,4.51,4.62,4.36,4.49,90700,4.49
2015-12-17,4.45,4.56,4.37,4.37,99700,4.37
2015-12-18,4.36,4.55,4.34,4.48,252400,4.48
2015-12-21,4.33,4.63,4.23,4.63,420100,4.63
2015-12-22,4.63,4.63,4.43,4.48,289600,4.48
2015-12-23,4.52,4.63,4.46,4.57,112400,4.57
2015-12-24,4.56,4.62,4.41,4.49,50900,4.49
2015-12-28,4.46,4.59,4.24,4.55,160400,4.55
2015-12-29,4.58,4.59,4.45,4.51,73300,4.51
2015-12-30,4.51,4.55,4.43,4.53,91700,4.53
2015-12-31,4.5,4.63,4.41,4.57,103600,4.57
2016-01-04,4.52,4.62,4.36,4.59,129300,4.59
2016-01-05,4.59,4.63,4.39,4.45,151000,4.45
2016-01-06,4.41,4.49,4.26,4.32,142900,4.32
2016-01-07,4.21,4.31,3.68,3.72,353400,3.72
2016-01-08,3.77,3.91,3.64,3.7,287600,3.7
2016-01-11,3.7,3.79,3.39,3.55,193700,3.55
2016-01-12,3.55,3.57,3.34,3.46,111800,3.46
2016-01-13,3.44,3.61,3.35,3.37,916800,3.37
2016-01-14,3.38,3.71,3.32,3.7,100700,3.7
