Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,7.5,7.75,7.5,7.55,6900,7.49737
2015-12-16,7.5,7.73,7.5,7.62,3700,7.5668820000000006
2015-12-17,7.62,7.68,7.01,7.68,8600,7.626464
2015-12-18,6.75,7.5,6.75,7.16,6800,7.110089
2015-12-21,7.55,7.56,7.01,7.22,16000,7.16967
2015-12-22,7.25,7.65,7.25,7.63,800,7.5768130000000005
2015-12-23,7.31,8.0,7.21,7.99,14500,7.934303
2015-12-24,7.35,7.84,7.35,7.84,1700,7.785349000000001
2015-12-28,7.38,8.45,7.38,7.89,4000,7.835
2015-12-29,8.3,8.34,7.78,8.16,7200,8.16
2015-12-30,7.8,8.2,7.61,8.18,3400,8.18
2015-12-31,8.14,8.41,7.7,8.15,6600,8.15
2016-01-04,8.16,8.39,8.16,8.39,2000,8.39
2016-01-05,9.79,9.79,8.16,9.38,9000,9.38
2016-01-06,9.95,9.95,9.0,9.11,1300,9.11
2016-01-07,8.65,9.46,8.65,9.2,6800,9.2
2016-01-08,8.8,8.98,8.64,8.94,7500,8.94
2016-01-11,8.96,9.0,8.49,8.58,5000,8.58
2016-01-12,8.67,8.73,8.31,8.42,2500,8.42
2016-01-13,8.93,8.93,8.41,8.41,2500,8.41
