Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,3.29,3.39,3.16,3.22,20000,3.22
2015-12-22,3.24,3.45,3.18,3.32,81100,3.32
2015-12-23,3.58,3.58,3.255,3.3689999999999998,6100,3.3689999999999998
2015-12-24,3.9,4.99,3.75,4.17,935800,4.17
2015-12-28,4.73,5.1,4.22,4.39,3003300,4.39
2015-12-29,4.35,5.38,4.31,5.0,1538900,5.0
2015-12-30,5.1,5.13,4.6,4.8,663500,4.8
2015-12-31,4.8,5.2,4.7,4.89,830700,4.89
2016-01-04,5.02,5.11,4.92,5.08,526400,5.08
2016-01-05,5.28,6.34,5.194,5.94,3120600,5.94
2016-01-06,6.1,7.96,6.0,7.79,6804200,7.79
2016-01-07,7.65,7.65,6.53,7.08,2782400,7.08
2016-01-08,7.55,7.67,5.35,5.69,2042200,5.69
2016-01-11,5.9,5.903,4.71,5.15,834000,5.15
2016-01-12,5.2,5.33,4.61,4.69,432400,4.69
2016-01-13,4.75,5.53,4.75,4.96,1962900,4.96
2016-01-14,4.97,5.12,4.5,4.96,667700,4.96
2016-01-15,4.74,4.74,4.3,4.4,376400,4.4
