Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,7.36,7.58,7.27,7.5,290000,7.5
2015-12-16,7.5,7.82,7.5,7.77,87800,7.77
2015-12-17,7.73,7.93,7.66,7.74,91800,7.74
2015-12-18,7.69,7.85,7.61,7.68,140100,7.68
2015-12-21,7.74,7.84,7.43,7.76,45800,7.76
2015-12-22,7.71,7.88,7.67,7.74,63400,7.74
2015-12-23,7.71,7.9,7.65,7.89,98900,7.89
2015-12-24,7.91,8.01,7.75,8.0,40200,8.0
2015-12-28,7.97,7.99,7.6,7.65,114900,7.65
2015-12-29,7.7,7.87,7.65,7.84,62200,7.84
2015-12-30,7.78,7.79,7.54,7.68,178700,7.68
2015-12-31,7.53,7.76,7.53,7.71,58800,7.71
2016-01-04,7.63,7.74,7.41,7.51,584800,7.51
2016-01-05,7.47,7.59,7.31,7.36,60900,7.36
2016-01-06,7.28,7.39,7.19,7.3,57100,7.3
2016-01-07,7.2,7.23,7.01,7.14,54600,7.14
2016-01-08,7.15,7.16,6.9,6.91,84300,6.91
2016-01-11,6.94,7.07,6.71,6.94,120300,6.94
2016-01-12,7.1,7.6,6.94,6.94,275500,6.94
2016-01-13,6.98,7.12,6.79,6.89,111200,6.89
2016-01-14,6.88,7.21,6.87,6.98,101500,6.98
