Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,1.15,1.25,1.15,1.25,6900,1.25
2015-12-16,1.24,1.32,1.18,1.29,41400,1.29
2015-12-17,1.34,1.41,1.34,1.35,19500,1.35
2015-12-18,1.38,1.55,1.37,1.55,3900,1.55
2015-12-21,1.35,1.39,1.33,1.37,9000,1.37
2015-12-22,1.45,1.5,1.23,1.31,20400,1.31
2015-12-23,1.31,1.35,1.29,1.33,7400,1.33
2015-12-24,1.31,1.37,1.31,1.37,200,1.37
2015-12-28,1.38,1.46,1.38,1.45,5000,1.45
2015-12-29,1.5,1.5,1.43,1.48,9200,1.48
2015-12-30,1.38,1.43,1.36,1.41,5300,1.41
2015-12-31,1.29,1.5,1.29,1.39,26000,1.39
2016-01-04,1.5,1.5,1.42,1.42,2500,1.42
2016-01-05,1.49,1.49,1.35,1.36,7100,1.36
2016-01-06,1.44,1.47,1.4,1.47,800,1.47
2016-01-07,1.49,1.5,1.49,1.49,700,1.49
2016-01-08,1.47,1.47,1.41,1.41,3300,1.41
2016-01-11,1.28,1.32,1.28,1.31,9900,1.31
2016-01-12,1.38,1.57,1.38,1.54,7800,1.54
2016-01-13,1.6,1.6,1.47,1.47,4000,1.47
