Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,2.57,2.67,2.56,2.58,7400,2.58
2015-12-16,2.58,2.58,2.45,2.47,21700,2.47
2015-12-17,2.54,2.87,2.43,2.642,34600,2.642
2015-12-18,2.6,2.61,2.436,2.56,11700,2.56
2015-12-21,2.608,2.608,2.4,2.51,8300,2.51
2015-12-22,2.65,2.65,2.469,2.469,6300,2.469
2015-12-23,2.61,2.89,2.61,2.79,52500,2.79
2015-12-24,2.79,2.9,2.6,2.6,37100,2.6
2015-12-28,2.82,3.05,2.66,2.97,67000,2.97
2015-12-29,3.06,3.1,2.77,2.94,31800,2.94
2015-12-30,2.97,2.97,2.77,2.84,8100,2.84
2015-12-31,2.9,2.9,2.66,2.74,17900,2.74
2016-01-04,2.674,2.7,2.57,2.6439999999999997,19500,2.6439999999999997
2016-01-05,2.61,2.741,2.6,2.74,20000,2.74
2016-01-06,2.6,2.79,2.52,2.69,157300,2.69
2016-01-07,2.73,2.73,2.51,2.52,16500,2.52
2016-01-08,2.62,2.62,2.169,2.37,72300,2.37
2016-01-11,2.58,2.623,2.0,2.04,179300,2.04
2016-01-12,2.14,2.25,2.0,2.05,68000,2.05
2016-01-13,2.002,2.1,1.6,1.63,76900,1.63
