Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,3.59,3.61,3.41,3.48,177900,3.48
2015-12-16,3.48,3.65,3.3,3.5,196300,3.5
2015-12-17,3.55,3.57,3.42,3.55,35500,3.55
2015-12-18,3.61,3.7,3.54,3.55,63400,3.55
2015-12-21,3.56,3.6,3.44,3.47,93300,3.47
2015-12-22,3.45,3.61,3.35,3.53,188700,3.53
2015-12-23,3.56,3.69,3.47,3.61,129700,3.61
2015-12-24,3.6,3.63,3.54,3.57,15400,3.57
2015-12-28,3.51,3.65,3.49,3.49,22900,3.49
2015-12-29,3.49,3.53,3.28,3.37,123000,3.37
2015-12-30,3.3,3.41,3.3,3.35,47200,3.35
2015-12-31,3.36,3.38,3.3,3.37,55600,3.37
2016-01-04,3.35,3.54,3.15,3.29,91300,3.29
2016-01-05,3.29,3.35,3.15,3.31,75200,3.31
2016-01-06,3.23,3.33,3.19,3.23,81900,3.23
2016-01-07,3.16,3.23,2.82,2.85,135200,2.85
2016-01-08,2.86,2.97,2.82,2.9,135600,2.9
2016-01-11,2.96,2.96,2.68,2.79,124200,2.79
2016-01-12,2.89,2.92,2.65,2.7,67700,2.7
2016-01-13,2.72,2.75,2.59,2.63,95300,2.63
