Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,5.23,5.43,5.09,5.28,63800,5.28
2015-12-22,5.69,5.7,4.93,5.03,153800,5.03
2015-12-23,5.0,5.1,4.93,5.03,84500,5.03
2015-12-24,4.97,4.97,4.69,4.74,81000,4.74
2015-12-28,4.7,4.83,4.63,4.66,93300,4.66
2015-12-29,4.69,4.82,4.63,4.77,75600,4.77
2015-12-30,4.77,4.79,4.6,4.67,77500,4.67
2015-12-31,4.63,4.78,4.41,4.55,443400,4.55
2016-01-04,4.45,4.62,4.27,4.37,132800,4.37
2016-01-05,4.38,4.49,4.3,4.44,66000,4.44
2016-01-06,4.36,4.51,4.29,4.4,97300,4.4
2016-01-07,4.29,4.3,4.1,4.1,89500,4.1
2016-01-08,4.13,4.21,3.55,3.57,424300,3.57
2016-01-11,3.57,3.61,3.28,3.39,158700,3.39
2016-01-12,3.44,3.52,2.95,3.31,283500,3.31
2016-01-13,3.31,3.31,2.91,2.95,208900,2.95
2016-01-14,2.75,3.15,2.72,3.05,274200,3.05
2016-01-15,2.91,3.05,2.87,3.02,176400,3.02
