Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,13.56,13.95,13.33,13.76,89600,13.76
2015-12-22,13.85,14.49,13.51,14.37,133000,14.37
2015-12-23,14.54,15.54,14.46,15.1,244200,15.1
2015-12-24,15.11,15.22,14.56,14.85,126900,14.85
2015-12-28,14.81,14.82,14.15,14.61,225900,14.61
2015-12-29,14.75,14.87,14.33,14.67,130500,14.67
2015-12-30,14.64,14.75,14.44,14.49,65000,14.49
2015-12-31,14.34,14.34,11.57,12.21,1818700,12.21
2016-01-04,12.25,13.05,12.11,12.92,413500,12.92
2016-01-05,12.7,13.47,12.58,12.77,314900,12.77
2016-01-06,12.6,12.96,12.45,12.51,239900,12.51
2016-01-07,12.4,12.59,11.87,12.01,236900,12.01
2016-01-08,11.65,11.7,9.75,10.22,2735900,10.22
2016-01-11,10.32,10.73,9.72,9.86,607900,9.86
2016-01-12,9.95,10.32,9.75,10.13,259400,10.13
2016-01-13,10.12,10.35,9.72,9.76,384100,9.76
2016-01-14,9.92,10.63,9.61,10.33,872700,10.33
2016-01-15,9.96,10.28,9.68,10.04,170500,10.04
