Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,1.51,1.62,1.5,1.6,1358200,1.6
2015-12-22,1.6,1.67,1.59,1.63,1051400,1.63
2015-12-23,1.56,1.6,1.52,1.57,1128300,1.57
2015-12-24,1.55,1.56,1.52,1.53,565600,1.53
2015-12-28,1.56,1.57,1.5,1.51,890600,1.51
2015-12-29,1.52,1.53,1.49,1.51,651000,1.51
2015-12-30,1.5,1.52,1.47,1.48,746800,1.48
2015-12-31,1.47,1.5,1.45,1.47,1101400,1.47
2016-01-04,1.46,1.48,1.42,1.44,983900,1.44
2016-01-05,1.47,1.47,1.37,1.38,1381200,1.38
2016-01-06,1.38,1.38,1.25,1.29,2078600,1.29
2016-01-07,1.08,1.08,0.88,0.93,12210300,0.93
2016-01-08,0.95,0.95,0.66,0.79,6646000,0.79
2016-01-11,0.83,0.83,0.72,0.8,3890500,0.8
2016-01-12,0.81,0.84,0.75,0.81,1886800,0.81
2016-01-13,0.82,0.83,0.74,0.75,2100800,0.75
2016-01-14,0.78,0.78,0.72,0.74,1785400,0.74
2016-01-15,0.72,0.72,0.67,0.7,1984400,0.7
