Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,1.68,1.86,1.68,1.79,85100,1.79
2015-12-16,1.78,1.86,1.78,1.83,53600,1.83
2015-12-17,1.81,1.84,1.7,1.73,139100,1.73
2015-12-18,1.72,1.79,1.7,1.7,116300,1.7
2015-12-21,1.71,1.74,1.59,1.62,190200,1.62
2015-12-22,1.61,1.75,1.53,1.73,278900,1.73
2015-12-23,1.73,1.89,1.72,1.85,270000,1.85
2015-12-24,1.85,1.85,1.72,1.79,46300,1.79
2015-12-28,1.79,1.85,1.66,1.71,164400,1.71
2015-12-29,1.71,1.78,1.61,1.61,191300,1.61
2015-12-30,1.6,1.66,1.52,1.55,216900,1.55
2015-12-31,1.55,1.67,1.55,1.64,195300,1.64
2016-01-04,1.6,1.64,1.5,1.62,112600,1.62
2016-01-05,1.62,1.82,1.62,1.76,247200,1.76
2016-01-06,1.77,1.77,1.71,1.72,98500,1.72
2016-01-07,1.7,1.7,1.56,1.57,137600,1.57
2016-01-08,1.58,1.63,1.4,1.44,194800,1.44
2016-01-11,1.45,1.54,1.42,1.42,87400,1.42
2016-01-12,1.43,1.43,1.24,1.33,85300,1.33
2016-01-13,1.34,1.49,1.25,1.28,131400,1.28
