Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,4.33,4.59,4.33,4.52,2163400,4.52
2015-12-16,4.57,4.74,4.5,4.72,2239200,4.72
2015-12-17,4.82,4.9,4.7,4.73,2396900,4.73
2015-12-18,4.71,4.95,4.68,4.91,15029600,4.91
2015-12-21,5.0,5.0,4.73,4.8,2192000,4.8
2015-12-22,4.8,4.88,4.73,4.83,1411000,4.83
2015-12-23,4.85,4.89,4.8,4.87,1312800,4.87
2015-12-24,4.9,5.04,4.77,4.82,2581400,4.82
2015-12-28,4.83,4.9,4.75,4.86,2239300,4.86
2015-12-29,4.88,5.15,4.85,5.09,3264500,5.09
2015-12-30,5.1,5.14,4.95,4.96,2145900,4.96
2015-12-31,4.95,4.97,4.83,4.84,3502100,4.84
2016-01-04,4.67,4.77,4.52,4.58,3030400,4.58
2016-01-05,4.62,4.64,4.32,4.39,3043200,4.39
2016-01-06,4.29,4.32,4.1,4.2,2935800,4.2
2016-01-07,4.06,4.09,3.85,3.85,3867400,3.85
2016-01-08,3.9,4.08,3.85,3.88,3214400,3.88
2016-01-11,3.94,3.95,3.28,3.48,4828700,3.48
2016-01-12,3.53,3.7,3.4,3.59,2901100,3.59
2016-01-13,3.61,3.64,3.25,3.26,2910000,3.26
2016-01-14,3.35,3.53,3.08,3.45,3536100,3.45
