Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,8.22,8.51,8.22,8.47,71600,8.47
2015-12-16,8.4,8.71,8.34,8.61,60100,8.61
2015-12-17,8.68,8.88,8.5,8.51,72800,8.51
2015-12-18,8.38,8.86,8.23,8.27,130400,8.27
2015-12-21,8.34,8.372,8.03,8.3,84200,8.3
2015-12-22,8.42,8.476,8.07,8.35,63400,8.35
2015-12-23,8.47,8.48,7.85,8.3,214800,8.3
2015-12-24,8.33,8.43,8.15,8.18,17900,8.18
2015-12-28,8.18,8.39,8.05,8.27,29700,8.27
2015-12-29,8.26,8.46,8.0,8.41,408300,8.41
2015-12-30,8.4,8.56,8.4,8.45,61800,8.45
2015-12-31,8.46,8.58,8.26,8.35,154300,8.35
2016-01-04,8.25,8.311,7.97,8.16,65400,8.16
2016-01-05,8.15,8.36,8.0,8.26,60900,8.26
2016-01-06,8.09,8.25,8.0,8.15,68200,8.15
2016-01-07,7.99,8.25,7.99,8.17,62800,8.17
2016-01-08,7.5,7.72,6.64,7.03,685400,7.03
2016-01-11,7.03,7.54,6.82,7.35,135100,7.35
2016-01-12,7.47,7.65,7.05,7.19,61000,7.19
2016-01-13,7.19,7.32,6.6,6.74,152600,6.74
2016-01-14,6.75,7.1,6.68,6.85,170200,6.85
