Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,2.0,2.0,1.88,1.95,16200,1.95
2015-12-22,1.97,1.97,1.83,1.88,39800,1.88
2015-12-23,1.94,1.97,1.85,1.89,23400,1.89
2015-12-24,1.86,1.93,1.85,1.87,7200,1.87
2015-12-28,1.85,1.85,1.75,1.81,108600,1.81
2015-12-29,1.78,1.84,1.78,1.82,38000,1.82
2015-12-30,1.82,1.89,1.82,1.85,94100,1.85
2015-12-31,1.89,1.89,1.81,1.84,80000,1.84
2016-01-04,1.84,1.85,1.8,1.82,40000,1.82
2016-01-05,1.78,1.81,1.7,1.76,70700,1.76
2016-01-06,1.76,1.76,1.7,1.71,8400,1.71
2016-01-07,1.71,1.75,1.65,1.67,11500,1.67
2016-01-08,1.7,1.73,1.68,1.73,22000,1.73
2016-01-11,1.0,1.0,0.62,0.72,2791900,0.72
2016-01-12,0.8,0.8,0.55,0.62,425100,0.62
2016-01-13,0.62,0.62,0.57,0.59,173200,0.59
2016-01-14,0.6,0.63,0.51,0.56,331600,0.56
2016-01-15,0.58,0.58,0.5,0.51,98600,0.51
