Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,17.0,17.139999,16.379998999999998,16.77,1205700,16.77
2015-12-22,16.959999,16.959999,16.35,16.780001000000002,577700,16.780001000000002
2015-12-23,16.9,17.27,16.780001000000002,16.99,762100,16.99
2015-12-24,17.0,17.5,17.0,17.08,686900,17.08
2015-12-28,17.0,17.42,16.68,17.040001,746400,17.040001
2015-12-29,17.18,17.459999,16.73,17.120001000000002,948600,17.120001000000002
2015-12-30,17.120001000000002,17.780001000000002,17.09,17.42,756500,17.42
2015-12-31,17.290001,17.6,17.110001,17.33,946400,17.33
2016-01-04,16.93,17.51,16.49,16.639999,1083600,16.639999
2016-01-05,16.639999,17.200001,16.26,16.389999,880900,16.389999
2016-01-06,16.01,16.17,15.58,15.77,1101200,15.77
2016-01-07,15.25,15.36,14.79,15.0,1306700,15.0
2016-01-08,15.0,15.44,14.6,14.85,1104700,14.85
2016-01-11,14.8,14.9,11.87,12.37,3712200,12.37
2016-01-12,12.5,13.07,11.69,12.22,2055500,12.22
2016-01-13,12.38,12.46,10.03,10.06,3329800,10.06
2016-01-14,10.16,10.52,8.75,10.21,3387700,10.21
2016-01-15,9.74,10.19,9.17,10.1,1748300,10.1
