Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,0.08,0.09,0.07,0.07,864400,0.07
2015-12-16,0.06,0.07,0.06,0.06,637200,0.06
2015-12-17,0.06,0.07,0.06,0.06,1044300,0.06
2015-12-18,0.06,0.07,0.06,0.07,1523900,0.07
2015-12-21,0.07,0.08,0.07,0.08,247900,0.08
2015-12-22,0.08,0.08,0.07,0.07,301700,0.07
2015-12-23,0.07,0.08,0.07,0.07,510900,0.07
2015-12-24,0.07,0.07,0.07,0.07,644100,0.07
2015-12-28,0.07,0.08,0.06,0.06,638100,0.06
2015-12-29,0.06,0.07,0.06,0.07,312700,0.07
2015-12-30,0.07,0.07,0.07,0.07,390200,0.07
2015-12-31,0.07,0.08,0.06,0.06,507700,0.06
2016-01-04,0.08,0.08,0.06,0.07,488200,0.07
2016-01-05,0.07,0.07,0.07,0.07,109800,0.07
2016-01-06,0.07,0.07,0.06,0.06,295400,0.06
2016-01-07,0.07,0.07,0.05,0.06,384600,0.06
2016-01-08,0.07,0.07,0.06,0.06,400200,0.06
2016-01-11,0.06,0.07,0.06,0.06,31900,0.06
2016-01-12,0.06,0.07,0.06,0.06,388600,0.06
2016-01-13,0.06,0.07,0.06,0.06,71100,0.06
