Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,12.74,13.5,12.74,13.2,275900,13.2
2015-12-22,13.24,13.24,12.84,12.97,220000,12.97
2015-12-23,13.08,13.32,13.03,13.06,117900,13.06
2015-12-24,13.04,13.22,12.95,13.07,66300,13.07
2015-12-28,13.04,13.13,12.92,13.13,180600,13.13
2015-12-29,13.16,13.39,12.99,13.17,175200,13.17
2015-12-30,13.17,13.25,12.91,13.06,137600,13.06
2015-12-31,13.02,13.18,12.83,12.87,214000,12.87
2016-01-04,12.68,12.93,12.46,12.81,249400,12.81
2016-01-05,12.9,13.07,12.83,12.9,158500,12.9
2016-01-06,12.77,13.26,12.75,13.19,326400,13.19
2016-01-07,13.05,13.15,12.91,13.02,263900,13.02
2016-01-08,13.09,13.27,12.64,12.68,262000,12.68
2016-01-11,12.75,12.84,12.31,12.34,228700,12.34
2016-01-12,12.39,12.65,12.04,12.17,386500,12.17
2016-01-13,12.17,12.53,11.97,12.11,239600,12.11
2016-01-14,12.12,12.46,11.97,12.32,198600,12.32
2016-01-15,12.13,12.31,11.77,12.26,324700,12.26
