Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,0.55,0.58,0.54,0.55,130100,0.55
2015-12-16,0.57,0.57,0.54,0.55,165800,0.55
2015-12-17,0.54,0.6,0.54,0.57,126700,0.57
2015-12-18,0.58,0.6,0.55,0.6,93000,0.6
2015-12-21,0.6,0.65,0.59,0.61,335700,0.61
2015-12-22,0.61,0.64,0.6,0.61,212300,0.61
2015-12-23,0.62,0.63,0.59,0.62,120500,0.62
2015-12-24,0.63,0.63,0.6,0.62,50300,0.62
2015-12-28,0.6,0.62,0.56,0.57,288700,0.57
2015-12-29,0.56,0.6,0.55,0.56,289300,0.56
2015-12-30,0.55,0.59,0.54,0.57,250300,0.57
2015-12-31,0.57,0.58,0.56,0.56,101700,0.56
2016-01-04,0.55,0.58,0.54,0.56,110200,0.56
2016-01-05,0.57,0.58,0.53,0.57,164300,0.57
2016-01-06,0.55,0.57,0.53,0.54,96600,0.54
2016-01-07,0.52,0.55,0.5,0.54,147500,0.54
2016-01-08,0.54,0.54,0.52,0.52,84200,0.52
2016-01-11,0.53,0.54,0.5,0.51,177400,0.51
2016-01-12,0.5,0.53,0.46,0.48,229700,0.48
2016-01-13,0.49,0.52,0.45,0.45,209300,0.45
