Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,0.34,0.37,0.34,0.35,389900,0.35
2015-12-22,0.35,0.37,0.35,0.36,539200,0.36
2015-12-23,0.38,0.38,0.36,0.38,304800,0.38
2015-12-24,0.38,0.38,0.36,0.37,84200,0.37
2015-12-28,0.37,0.39,0.37,0.38,379700,0.38
2015-12-29,0.38,0.38,0.35,0.36,604000,0.36
2015-12-30,0.35,0.38,0.35,0.36,852500,0.36
2015-12-31,0.35,0.38,0.35,0.36,596400,0.36
2016-01-04,0.36,0.38,0.35,0.35,241000,0.35
2016-01-05,0.35,0.37,0.35,0.36,321500,0.36
2016-01-06,0.35,0.35,0.34,0.34,324900,0.34
2016-01-07,0.33,0.34,0.3,0.33,618700,0.33
2016-01-08,0.33,0.34,0.31,0.33,330000,0.33
2016-01-11,0.32,0.34,0.29,0.31,415000,0.31
2016-01-12,0.31,0.32,0.29,0.3,146100,0.3
2016-01-13,0.3,0.3,0.26,0.27,464900,0.27
2016-01-14,0.25,0.3,0.23,0.28,705900,0.28
2016-01-15,0.28,0.3,0.24,0.25,376400,0.25
