Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,10.36,10.93,10.21,10.82,29700,10.82
2015-12-16,10.87,11.27,10.35,10.47,22400,10.47
2015-12-17,10.51,11.09,10.51,10.88,32000,10.88
2015-12-18,10.94,11.17,10.53,10.81,33100,10.81
2015-12-21,10.87,11.28,10.2,10.27,26700,10.27
2015-12-22,10.32,10.45,9.52,9.79,38100,9.79
2015-12-23,9.76,10.18,9.6,10.13,51800,10.13
2015-12-24,10.13,10.45,10.06,10.06,7600,10.06
2015-12-28,10.12,10.28,9.87,10.01,20100,10.01
2015-12-29,10.1,10.13,9.71,9.93,33400,9.93
2015-12-30,9.89,10.08,9.89,9.96,39700,9.96
2015-12-31,9.95,10.35,9.8,10.3,27800,10.3
2016-01-04,10.16,10.21,9.53,9.58,16700,9.58
2016-01-05,9.66,9.81,8.73,8.89,35400,8.89
2016-01-06,8.8,8.84,8.5,8.76,16800,8.76
2016-01-07,8.7,8.73,7.91,7.95,43600,7.95
2016-01-08,8.1,8.1,6.17,6.19,155000,6.19
2016-01-11,8.88,8.88,5.4,5.62,203000,5.62
2016-01-12,5.76,5.85,5.53,5.78,162100,5.78
2016-01-13,5.78,6.33,5.78,6.23,145500,6.23
2016-01-14,6.3,6.65,6.2,6.49,82000,6.49
