Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,8.36,9.32,8.29,8.71,127600,8.71
2015-12-16,8.82,8.82,7.8,8.56,173400,8.56
2015-12-17,8.7,10.63,8.7,10.17,860200,10.17
2015-12-18,10.09,10.74,9.26,10.07,786000,10.07
2015-12-21,10.2,10.93,10.152000000000001,10.78,87400,10.78
2015-12-22,10.71,10.879000000000001,9.885,10.12,85400,10.12
2015-12-23,10.25,10.6,9.46,10.16,58300,10.16
2015-12-24,10.18,10.41,10.13,10.28,20900,10.28
2015-12-28,10.25,10.31,9.751,10.17,65100,10.17
2015-12-29,9.91,10.16,9.51,9.8,65400,9.8
2015-12-30,9.71,10.44,9.66,10.03,25700,10.03
2015-12-31,10.02,10.1,9.66,9.83,22900,9.83
2016-01-04,9.63,9.63,9.04,9.13,62300,9.13
2016-01-05,8.855,9.48,8.855,9.36,42100,9.36
2016-01-06,9.15,9.27,8.63,8.69,78400,8.69
2016-01-07,8.45,8.45,7.25,7.72,253900,7.72
2016-01-08,7.8,8.23,7.37,7.43,58900,7.43
2016-01-11,7.53,9.04,6.6,7.44,119000,7.44
2016-01-12,7.43,7.587999999999999,6.86,7.15,59300,7.15
2016-01-13,7.09,7.55,6.3,6.54,92600,6.54
2016-01-14,6.59,6.59,5.824,6.33,234600,6.33
