Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,7.67,8.07,7.57,7.94,1003300,7.94
2015-12-16,7.97,8.24,7.9,8.2,1529500,8.2
2015-12-17,8.25,8.34,7.94,8.09,689500,8.09
2015-12-18,8.09,8.3,7.93,7.95,3588900,7.95
2015-12-21,8.04,8.15,7.64,7.75,1197900,7.75
2015-12-22,7.76,7.87,7.5,7.62,900500,7.62
2015-12-23,7.67,7.95,7.4,7.88,1960200,7.88
2015-12-24,7.9,8.4,7.88,8.21,641800,8.21
2015-12-28,8.16,8.39,8.05,8.13,798200,8.13
2015-12-29,8.23,8.44,8.02,8.32,938400,8.32
2015-12-30,8.25,8.45,8.07,8.09,702500,8.09
2015-12-31,7.88,8.1,7.83,7.9,847600,7.9
2016-01-04,7.69,7.85,7.58,7.74,1118100,7.74
2016-01-05,7.77,8.05,7.6,7.82,902400,7.82
2016-01-06,7.65,7.7,7.04,7.24,1444800,7.24
2016-01-07,7.0,7.08,6.52,6.64,1605000,6.64
2016-01-08,6.76,6.9,6.52,6.58,1335700,6.58
2016-01-11,6.62,6.73,5.79,5.82,2419500,5.82
2016-01-12,6.02,6.6,5.97,6.51,2271000,6.51
2016-01-13,6.53,6.71,5.91,5.98,2005200,5.98
2016-01-14,6.17,6.41,5.98,6.25,1753200,6.25
