Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,84.769997,85.66999799999999,84.760002,85.279999,1643400,85.279999
2015-12-16,86.400002,86.650002,85.43,86.510002,1903900,86.510002
2015-12-17,86.019997,86.68,85.239998,85.300003,1894900,85.300003
2015-12-18,85.32,85.809998,84.730003,84.769997,2166700,84.769997
2015-12-21,85.309998,85.489998,84.209999,84.68,1384500,84.68
2015-12-22,85.190002,85.220001,84.370003,84.849998,1387500,84.849998
2015-12-23,85.269997,86.709999,85.25,86.639999,2205100,86.639999
2015-12-24,86.290001,86.860001,86.290001,86.470001,877400,86.470001
2015-12-28,87.260002,87.260002,86.540001,86.75,1715500,86.75
2015-12-29,87.870003,88.160004,87.699997,88.050003,1827200,88.050003
2015-12-30,88.459999,88.489998,87.529999,87.529999,1584300,87.529999
2015-12-31,86.43,86.839996,86.019997,86.040001,1041900,86.040001
2016-01-04,85.589996,85.790001,84.470001,85.75,2285700,85.75
2016-01-05,85.25,86.260002,85.209999,86.209999,2601500,86.209999
2016-01-06,84.540001,85.260002,84.540001,85.029999,2736900,85.029999
2016-01-07,83.91999799999999,84.449997,83.610001,83.940002,2269700,83.940002
2016-01-08,83.379997,83.5,81.379997,81.559998,2073400,81.559998
2016-01-11,82.029999,82.07,80.629997,81.639999,3530500,81.639999
2016-01-12,82.379997,82.639999,81.309998,82.239998,1584900,82.239998
2016-01-13,82.660004,82.839996,81.07,81.089996,2177000,81.089996
