Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,4.45,4.66,4.27,4.65,326900,4.65
2015-12-22,4.66,4.66,4.28,4.45,253000,4.45
2015-12-23,3.75,3.75,3.51,3.61,1966100,3.61
2015-12-24,3.57,3.62,3.55,3.56,325900,3.56
2015-12-28,3.51,3.55,3.3,3.35,625700,3.35
2015-12-29,3.38,3.44,3.32,3.39,345700,3.39
2015-12-30,3.35,3.36,3.08,3.12,522700,3.12
2015-12-31,3.12,3.25,3.09,3.2,491900,3.2
2016-01-04,3.15,3.18,3.0,3.06,417600,3.06
2016-01-05,3.02,3.14,3.0,3.05,386500,3.05
2016-01-06,3.0,3.05,2.83,2.85,514800,2.85
2016-01-07,2.8,2.8,2.11,2.31,1424700,2.31
2016-01-08,2.34,2.62,2.25,2.3,647300,2.3
2016-01-11,2.3,2.45,2.11,2.16,616900,2.16
2016-01-12,2.21,2.39,2.12,2.17,728700,2.17
2016-01-13,2.15,2.28,2.03,2.04,537600,2.04
2016-01-14,2.03,2.16,1.85,2.06,793600,2.06
2016-01-15,2.0,2.21,1.95,2.15,532900,2.15
