Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,2.45,2.45,2.45,2.45,1000,2.45
2015-12-22,2.45,2.45,1.91,2.05,6000,2.05
2015-12-23,2.1,2.12,1.35,1.45,33800,1.45
2015-12-24,1.9480000000000002,1.9480000000000002,1.29,1.29,2200,1.29
2015-12-28,1.39,1.6,1.28,1.4,5900,1.4
2015-12-29,1.52,1.52,1.52,1.52,100,1.52
2015-12-30,1.55,1.55,1.4001,1.47,4800,1.47
2015-12-31,1.5,1.55,1.45,1.52,2500,1.52
2016-01-04,1.5,1.5,1.28,1.28,500,1.28
2016-01-05,1.28,1.28,1.28,1.28,0,1.28
2016-01-06,1.48,1.49,1.3,1.3,4700,1.3
2016-01-07,1.32,1.32,1.1,1.28,1500,1.28
2016-01-08,1.28,1.3,1.28,1.2890000000000001,1100,1.2890000000000001
2016-01-11,1.2890000000000001,1.2890000000000001,1.2890000000000001,1.2890000000000001,0,1.2890000000000001
2016-01-12,1.2890000000000001,1.2890000000000001,1.2890000000000001,1.2890000000000001,0,1.2890000000000001
2016-01-13,1.4158,1.4158,1.0042,1.0042,300,1.0042
2016-01-14,1.0154,1.0154,0.958,0.958,1300,0.958
2016-01-15,1.01,1.01,1.01,1.01,100,1.01
