Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,8.48,8.5,8.48,8.5,2102900,8.5
2015-12-16,8.49,8.5,8.49,8.49,849000,8.49
2015-12-17,8.5,8.5,8.48,8.49,841800,8.49
2015-12-18,8.49,8.5,8.42,8.49,2289800,8.49
2015-12-21,8.48,8.49,8.45,8.49,652800,8.49
2015-12-22,8.47,8.48,8.45,8.47,403000,8.47
2015-12-23,8.46,8.48,8.41,8.44,497500,8.44
2015-12-24,8.44,8.45,8.43,8.45,168900,8.45
2015-12-28,8.44,8.45,8.42,8.43,421700,8.43
2015-12-29,8.44,8.44,8.42,8.44,173500,8.44
2015-12-30,8.43,8.45,8.42,8.42,275700,8.42
2015-12-31,8.42,8.43,8.41,8.42,463200,8.42
2016-01-04,8.4,8.4,8.07,8.36,1093300,8.36
2016-01-05,8.35,8.42,8.35,8.41,549700,8.41
2016-01-06,8.4,8.43,8.4,8.41,321200,8.41
2016-01-07,8.41,8.45,8.41,8.42,555400,8.42
2016-01-08,8.43,8.45,8.41,8.43,429800,8.43
2016-01-11,8.43,8.46,8.41,8.44,579500,8.44
2016-01-12,8.44,8.46,8.42,8.45,572200,8.45
2016-01-13,8.45,8.46,8.42,8.42,546100,8.42
2016-01-14,8.42,8.45,8.42,8.43,443000,8.43
