Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,1.14,1.14,1.1,1.11,147400,1.11
2015-12-22,1.12,1.2,1.1,1.16,244200,1.16
2015-12-23,1.2,1.2,1.13,1.16,139700,1.16
2015-12-24,1.19,1.19,1.15,1.16,42400,1.16
2015-12-28,1.19,1.19,1.14,1.16,759900,1.16
2015-12-29,1.16,1.19,1.15,1.17,96900,1.17
2015-12-30,1.18,1.19,1.14,1.14,80800,1.14
2015-12-31,1.15,1.18,1.12,1.15,147200,1.15
2016-01-04,1.17,1.18,1.12,1.15,110200,1.15
2016-01-05,1.16,1.16,1.12,1.12,121100,1.12
2016-01-06,1.13,1.25,1.12,1.19,772600,1.19
2016-01-07,1.17,1.17,1.11,1.13,308900,1.13
2016-01-08,1.15,1.16,1.03,1.05,249400,1.05
2016-01-11,1.03,1.06,0.96,0.96,300100,0.96
2016-01-12,1.01,1.01,0.87,0.89,221300,0.89
2016-01-13,0.86,1.0,0.85,0.95,208300,0.95
2016-01-14,0.92,0.96,0.85,0.94,128500,0.94
2016-01-15,0.95,0.95,0.9,0.9,99300,0.9
