Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,1.13,1.18,1.12,1.15,538400,1.15
2015-12-16,1.11,1.18,1.11,1.15,413400,1.15
2015-12-17,1.14,1.27,1.14,1.19,506900,1.19
2015-12-18,1.17,1.24,1.15,1.18,378100,1.18
2015-12-21,1.18,1.21,1.16,1.19,242600,1.19
2015-12-22,1.19,1.22,1.15,1.15,390800,1.15
2015-12-23,1.18,1.2,1.18,1.2,265700,1.2
2015-12-24,1.18,1.21,1.17,1.19,90500,1.19
2015-12-28,1.2,1.21,1.16,1.19,263800,1.19
2015-12-29,1.21,1.21,1.15,1.18,342200,1.18
2015-12-30,1.16,1.2,1.16,1.2,286300,1.2
2015-12-31,1.21,1.26,1.18,1.21,519100,1.21
2016-01-04,1.15,1.23,1.15,1.17,178800,1.17
2016-01-05,1.2,1.22,1.16,1.22,213200,1.22
2016-01-06,1.21,1.21,1.13,1.18,189600,1.18
2016-01-07,1.12,1.18,1.05,1.12,882200,1.12
2016-01-08,1.12,1.12,1.0,1.02,937100,1.02
2016-01-11,1.0,1.05,0.82,0.86,1120200,0.86
2016-01-12,0.89,0.91,0.82,0.82,316600,0.82
2016-01-13,0.85,0.86,0.75,0.75,462800,0.75
2016-01-14,0.74,0.84,0.68,0.71,569100,0.71
