Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,35.880001,36.27,35.84,36.240002000000004,582600,36.240002000000004
2015-12-16,36.400002,36.630001,36.080002,36.52,506200,36.52
2015-12-17,36.52,36.68,36.169998,36.18,1543700,36.18
2015-12-18,36.060001,36.150002,35.669998,35.73,886200,35.73
2015-12-21,35.900002,36.0,35.450001,35.77,506400,35.77
2015-12-22,35.77,36.080002,35.52,36.02,527200,36.02
2015-12-23,36.139998999999996,36.360001000000004,35.93,36.34,291900,36.34
2015-12-24,36.27,36.52,36.16,36.34,210600,36.34
2015-12-28,36.279999,36.77,36.169998,36.75,387200,36.75
2015-12-29,36.98,37.029999,36.799999,36.959998999999996,273100,36.959998999999996
2015-12-30,36.84,37.060001,36.779999,36.860001000000004,311100,36.860001000000004
2015-12-31,36.77,36.849998,35.98,35.98,313600,35.98
2016-01-04,35.580002,35.580002,35.09,35.400002,644500,35.400002
2016-01-05,35.400002,35.650002,35.16,35.330002,465500,35.330002
2016-01-06,34.889998999999996,35.529999,34.889998999999996,35.490002000000004,542200,35.490002000000004
2016-01-07,34.919998,35.279999,34.759997999999996,34.810001,536400,34.810001
2016-01-08,34.990002000000004,35.0,34.330002,34.419998,438300,34.419998
2016-01-11,34.599998,34.919998,33.599998,33.84,489800,33.84
2016-01-12,34.119999,34.34,33.689999,34.169998,503900,34.169998
2016-01-13,34.169998,34.349998,33.209998999999996,33.259997999999996,478000,33.259997999999996
