Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,2.2,2.28,2.1,2.18,2035700,2.18
2015-12-16,2.21,2.23,2.15,2.2,1201400,2.2
2015-12-17,2.18,2.24,2.16,2.17,1054700,2.17
2015-12-18,2.17,2.28,2.16,2.2,3324100,2.2
2015-12-21,2.33,2.38,2.19,2.35,1400800,2.35
2015-12-22,2.33,2.41,2.3,2.37,1000500,2.37
2015-12-23,2.38,2.42,2.31,2.41,527200,2.41
2015-12-24,2.38,2.49,2.36,2.45,375300,2.45
2015-12-28,2.43,2.47,2.35,2.36,543200,2.36
2015-12-29,2.37,2.43,2.31,2.38,447900,2.38
2015-12-30,2.37,2.4,2.28,2.32,633000,2.32
2015-12-31,2.33,2.34,2.2,2.22,982100,2.22
2016-01-04,2.19,2.19,2.03,2.04,1032400,2.04
2016-01-05,2.08,2.11,2.02,2.05,497100,2.05
2016-01-06,2.01,2.06,1.92,1.95,613500,1.95
2016-01-07,1.9,1.93,1.79,1.82,823500,1.82
2016-01-08,1.82,1.88,1.73,1.76,572200,1.76
2016-01-11,1.77,1.82,1.62,1.65,1309500,1.65
2016-01-12,1.68,1.73,1.6,1.67,932700,1.67
2016-01-13,1.67,1.72,1.48,1.49,1593700,1.49
2016-01-14,1.52,1.66,1.4,1.66,766800,1.66
