Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,9.74,9.92,9.61,9.74,3639000,9.74
2015-12-16,9.75,10.22,9.74,10.14,3530500,10.14
2015-12-17,10.2,10.24,9.84,10.04,2755300,10.04
2015-12-18,9.94,10.25,9.9,9.98,4415900,9.98
2015-12-21,10.03,10.3,9.88,10.2,3384700,10.2
2015-12-22,10.13,10.15,9.9,9.94,2705000,9.94
2015-12-23,9.85,10.19,9.77,10.12,3068100,10.12
2015-12-24,10.15,10.24,10.12,10.18,1055600,10.18
2015-12-28,10.24,10.24,10.0,10.13,2057600,10.13
2015-12-29,10.2,10.37,10.13,10.34,2192300,10.34
2015-12-30,10.29,10.31,9.98,10.14,2899800,10.14
2015-12-31,10.15,10.24,10.04,10.05,2315400,10.05
2016-01-04,9.92,10.19,9.81,10.0,3976800,10.0
2016-01-05,9.97,10.09,9.74,9.82,4123900,9.82
2016-01-06,9.7,9.84,8.95,9.14,9263800,9.14
2016-01-07,8.97,9.19,8.63,8.83,6937000,8.83
2016-01-08,8.9,9.2,8.77,8.82,4357700,8.82
2016-01-11,9.1,9.16,8.41,8.6,6172900,8.6
2016-01-12,8.63,8.87,8.31,8.73,4725000,8.73
2016-01-13,8.87,8.95,8.22,8.29,4933100,8.29
2016-01-14,8.32,8.4,7.56,8.23,6683400,8.23
