Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,1.79,1.87,1.72,1.8,1967000,1.8
2015-12-22,1.79,1.86,1.74,1.85,2160600,1.85
2015-12-23,1.83,1.95,1.83,1.94,1351700,1.94
2015-12-24,1.91,1.96,1.83,1.83,1382300,1.83
2015-12-28,1.82,1.85,1.76,1.83,1429500,1.83
2015-12-29,1.83,1.89,1.81,1.85,1328900,1.85
2015-12-30,1.82,1.87,1.81,1.84,1647800,1.84
2015-12-31,1.82,1.88,1.64,1.72,2766600,1.72
2016-01-04,1.71,1.72,1.63,1.71,1848600,1.71
2016-01-05,1.7,1.8,1.67,1.79,1702600,1.79
2016-01-06,1.75,1.79,1.72,1.75,2133900,1.75
2016-01-07,1.74,1.74,1.62,1.64,1965200,1.64
2016-01-08,1.65,1.71,1.57,1.59,1563600,1.59
2016-01-11,1.59,1.61,1.48,1.56,1709300,1.56
2016-01-12,1.55,1.67,1.54,1.62,1681800,1.62
2016-01-13,1.62,1.69,1.52,1.53,1638100,1.53
2016-01-14,1.51,1.79,1.45,1.78,2961800,1.78
2016-01-15,1.72,1.82,1.67,1.79,1645500,1.79
