Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,8.61,8.94,8.45,8.87,50900,8.87
2015-12-16,9.03,9.04,8.65,8.76,55300,8.76
2015-12-17,8.84,8.94,8.43,8.5,63400,8.5
2015-12-18,8.43,8.75,8.43,8.6,40600,8.6
2015-12-21,8.62,9.21,8.38,8.99,175400,8.99
2015-12-22,9.08,9.08,8.61,8.76,76100,8.76
2015-12-23,8.8,9.02,8.6,8.91,47900,8.91
2015-12-24,8.78,9.0,8.75,8.92,9900,8.92
2015-12-28,8.95,9.54,8.85,9.19,232600,9.19
2015-12-29,9.4,9.69,8.88,8.94,103200,8.94
2015-12-30,9.0,9.04,8.48,8.67,117000,8.67
2015-12-31,8.56,8.84,8.5,8.55,39000,8.55
2016-01-04,8.5,8.54,8.25,8.49,45200,8.49
2016-01-05,8.56,8.72,8.36,8.53,32300,8.53
2016-01-06,8.26,8.53,8.23,8.25,58500,8.25
2016-01-07,8.04,8.15,7.5,7.56,115400,7.56
2016-01-08,7.83,7.95,7.01,7.14,105700,7.14
2016-01-11,7.07,7.36,6.69,7.19,112600,7.19
2016-01-12,7.26,7.49,7.0,7.06,37800,7.06
2016-01-13,7.05,7.05,6.5,6.77,84600,6.77
2016-01-14,6.71,6.87,6.39,6.78,85900,6.78
