Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,6.5,6.8,6.45,6.73,1096300,6.73
2015-12-16,6.8,6.87,6.6,6.71,421500,6.71
2015-12-17,6.75,6.94,6.71,6.87,666000,6.87
2015-12-18,6.83,6.99,6.69,6.7,804600,6.7
2015-12-21,6.72,6.75,6.42,6.71,463400,6.71
2015-12-22,6.75,6.79,6.59,6.78,292100,6.78
2015-12-23,6.8,6.86,6.62,6.69,552900,6.69
2015-12-24,6.67,6.86,6.67,6.75,291400,6.75
2015-12-28,6.78,6.78,6.52,6.54,414200,6.54
2015-12-29,6.58,6.8,6.56,6.65,390400,6.65
2015-12-30,6.61,6.7,6.53,6.55,355300,6.55
2015-12-31,6.54,6.55,6.42,6.44,414900,6.44
2016-01-04,6.35,6.43,5.98,6.35,1064000,6.35
2016-01-05,6.35,6.58,6.3,6.44,487300,6.44
2016-01-06,6.37,6.56,6.33,6.37,706500,6.37
2016-01-07,6.26,6.26,5.92,5.93,874000,5.93
2016-01-08,5.93,6.17,5.93,6.04,795400,6.04
2016-01-11,6.04,6.11,5.8,5.86,477200,5.86
2016-01-12,5.89,6.02,5.8,5.92,397100,5.92
2016-01-13,5.93,6.04,5.61,5.63,370400,5.63
2016-01-14,5.62,5.81,5.54,5.73,398300,5.73
