Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,12.02,12.04,11.640999999999998,11.92,47700,11.92
2015-12-22,11.95,12.0,11.64,11.96,23500,11.96
2015-12-23,12.01,12.01,11.66,11.95,33700,11.95
2015-12-24,11.95,12.0,11.77,11.8,13400,11.8
2015-12-28,11.77,11.82,11.35,11.45,19700,11.45
2015-12-29,11.53,11.87,11.53,11.85,17200,11.85
2015-12-30,11.89,12.09,11.71,11.94,53500,11.94
2015-12-31,11.94,11.94,11.47,11.5,33100,11.5
2016-01-04,11.43,11.96,10.81,10.87,135900,10.87
2016-01-05,10.76,11.12,10.7,10.74,41800,10.74
2016-01-06,10.59,11.1,10.59,10.82,34000,10.82
2016-01-07,10.61,10.695,10.35,10.36,36000,10.36
2016-01-08,10.38,10.59,10.08,10.08,30800,10.08
2016-01-11,10.1,10.53,10.05,10.23,99100,10.23
2016-01-12,10.39,10.62,10.21,10.4,35600,10.4
2016-01-13,10.42,10.7,10.16,10.22,34100,10.22
2016-01-14,10.3,10.79,10.22,10.54,21000,10.54
2016-01-15,10.22,10.69,9.69,10.33,42100,10.33
