Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,12.02,12.38,11.7,12.0,51300,12.0
2015-12-22,11.97,12.17,11.74,11.88,89300,11.88
2015-12-23,11.92,12.03,11.8,11.91,71500,11.91
2015-12-24,11.94,12.045,11.76,11.93,38500,11.93
2015-12-28,11.74,11.95,11.5,11.84,71600,11.84
2015-12-29,11.96,12.27,11.57,12.16,82200,12.16
2015-12-30,12.18,12.73,11.95,12.45,53000,12.45
2015-12-31,12.45,12.74,12.245,12.38,41800,12.38
2016-01-04,12.1,12.37,11.315,11.67,125800,11.67
2016-01-05,11.63,11.75,11.17,11.27,69800,11.27
2016-01-06,11.02,11.2,10.66,10.95,122800,10.95
2016-01-07,10.7,10.81,10.19,10.24,99800,10.24
2016-01-08,10.27,10.61,10.07,10.14,109300,10.14
2016-01-11,10.17,10.38,9.45,9.74,148300,9.74
2016-01-12,9.8,10.09,9.15,9.75,83200,9.75
2016-01-13,9.75,10.07,9.02,9.09,85800,9.09
2016-01-14,9.11,9.73,8.62,9.35,111000,9.35
2016-01-15,9.05,9.16,8.552,9.02,71900,9.02
